State,Year,Population
AK,1993,599432
AZ,1993,4065440
AR,1993,2456303
CA,1993,31274928
CO,1993,3613734
CT,1993,3309175
DE,1993,706378
DC,1993,595301
FL,1993,13927185
GA,1993,6978240
HI,1993,1172838
ID,1993,1108768
IL,1993,11809579
IN,1993,5739019
IA,1993,2836972
KS,1993,2556547
KY,1993,3812206
LA,1993,4316428
ME,1993,1242302
MD,1993,4971889
MA,1993,6060569
MI,1993,9540114
MN,1993,4555954
MS,1993,2655100
MO,1993,5271175
MT,1993,844761
NE,1993,1625590
NV,1993,1411215
NH,1993,1129458
NJ,1993,7948915
NM,1993,1636453
NY,1993,18374954
NC,1993,7042818
ND,1993,641216
OH,1993,11101140
OK,1993,3252285
OR,1993,3060367
PA,1993,12119724
RI,1993,1015112
SC,1993,3663314
SD,1993,722159
TN,1993,5137584
TX,1993,18161612
UT,1993,1898404
VT,1993,577748
VA,1993,6509630
WA,1993,5278842
WV,1993,1817539
WI,1993,5084889
WY,1993,473081
AL,1994,4260229
AK,1994,603308
AZ,1994,4245089
AR,1994,2494019
CA,1994,31484435
CO,1994,3724168
CT,1994,3316121
DE,1994,717545
DC,1994,589239
FL,1994,14239444
GA,1994,7157165
HI,1994,1187536
ID,1994,1145140
IL,1994,11912585
IN,1994,5793526
IA,1994,2850746
KS,1994,2580513
KY,1994,3849088
LA,1994,4347481
ME,1994,1242662
MD,1994,5023060
MA,1994,6095241
MI,1994,9597737
MN,1994,4610355
MS,1994,2688992
MO,1994,5324497
MT,1994,861306
NE,1994,1639041
NV,1994,1499298
NH,1994,1142560
NJ,1994,8014306
NM,1994,1682398
NY,1994,18459470
NC,1994,7187398
ND,1994,644804
OH,1994,11152454
OK,1994,3280940
OR,1994,3121264
PA,1994,12166050
RI,1994,1015960
SC,1994,3705397
SD,1994,730790
TN,1994,5231438
TX,1994,18564062
UT,1994,1960446
VT,1994,583836
VA,1994,6593139
WA,1994,5375161
WV,1994,1820421
WI,1994,5133678
WY,1994,480283
AL,1995,4296800
AK,1995,604412
AZ,1995,4432499
AR,1995,2535399
CA,1995,31696582
CO,1995,3826653
CT,1995,3324144
DE,1995,729734
DC,1995,580517
FL,1995,14537875
GA,1995,7328413
HI,1995,1196854
ID,1995,1177322
IL,1995,12008437
IN,1995,5851459
IA,1995,2867373
KS,1995,2601007
KY,1995,3887427
LA,1995,4378779
ME,1995,1243480
MD,1995,5070033
MA,1995,6141445
MI,1995,9676211
MN,1995,4660180
MS,1995,2722659
MO,1995,5378247
MT,1995,876553
NE,1995,1656992
NV,1995,1581578
NH,1995,1157561
NJ,1995,8083242
NM,1995,1720394
NY,1995,18524104
NC,1995,7344674
ND,1995,647832
OH,1995,11202751
OK,1995,3308208
OR,1995,3184369
PA,1995,12198403
RI,1995,1017002
SC,1995,3748582
SD,1995,737925
TN,1995,5326936
TX,1995,18958751
UT,1995,2014177
VT,1995,589002
VA,1995,6670693
WA,1995,5481027
WV,1995,1823700
WI,1995,5184836
WY,1995,485160
AL,1996,4331102
AK,1996,608569
AZ,1996,4586940
AR,1996,2572109
CA,1996,32018834
CO,1996,3919972
CT,1996,3336685
DE,1996,740977
DC,1996,572377
FL,1996,14853360
GA,1996,7501069
HI,1996,1203755
ID,1996,1203083
IL,1996,12101997
IN,1996,5906013
IA,1996,2880000
KS,1996,2614554
KY,1996,3919535
LA,1996,4398877
ME,1996,1249060
MD,1996,5111986
MA,1996,6179756
MI,1996,9758645
MN,1996,4712827
MS,1996,2748085
MO,1996,5431553
MT,1996,886254
NE,1996,1673740
NV,1996,1666320
NH,1996,1174719
NJ,1996,8149596
NM,1996,1752326
NY,1996,18588460
NC,1996,7500670
ND,1996,650382
OH,1996,11242827
OK,1996,3340129
OR,1996,3247111
PA,1996,12220464
RI,1996,1020893
SC,1996,3796200
SD,1996,742213
TN,1996,5416643
TX,1996,19340342
UT,1996,2067976
VT,1996,593701
VA,1996,6750884
WA,1996,5569753
WV,1996,1822808
WI,1996,5229986
WY,1996,488167
AL,1997,4367935
AK,1997,612968
AZ,1997,4736990
AR,1997,2601090
CA,1997,32486010
CO,1997,4018293
CT,1997,3349348
DE,1997,751487
DC,1997,567736
FL,1997,15186304
GA,1997,7685099
HI,1997,1211640
ID,1997,1228520
IL,1997,12185715
IN,1997,5955267
IA,1997,2891119
KS,1997,2635292
KY,1997,3952747
LA,1997,4421071
ME,1997,1254774
MD,1997,5157328
MA,1997,6226058
MI,1997,9809051
MN,1997,4763390
MS,1997,2777004
MO,1997,5481193
MT,1997,889865
NE,1997,1686418
NV,1997,1764104
NH,1997,1189425
NJ,1997,8218808
NM,1997,1774839
NY,1997,18656546
NC,1997,7656825
ND,1997,649716
OH,1997,11277357
OK,1997,3372917
OR,1997,3304310
PA,1997,12227814
RI,1997,1025353
SC,1997,3859696
SD,1997,744223
TN,1997,5499233
TX,1997,19740317
UT,1997,2119784
VT,1997,597239
VA,1997,6829183
WA,1997,5674747
WV,1997,1819113
WI,1997,5266213
WY,1997,489451
AL,1998,4404701
AK,1998,619932
AZ,1998,4883342
AR,1998,2626289
CA,1998,32987675
CO,1998,4116639
CT,1998,3365352
DE,1998,763335
DC,1998,565230
FL,1998,15486559
GA,1998,7863536
HI,1998,1215233
ID,1998,1252330
IL,1998,12271847
IN,1998,5998880
IA,1998,2902872
KS,1998,2660598
KY,1998,3985390
LA,1998,4440344
ME,1998,1259127
MD,1998,5204464
MA,1998,6271838
MI,1998,9847942
MN,1998,4813412
MS,1998,2804834
MO,1998,5521765
MT,1998,892431
NE,1998,1695816
NV,1998,1853191
NH,1998,1205940
NJ,1998,8287418
NM,1998,1793484
NY,1998,18755906
NC,1998,7809121
ND,1998,647532
OH,1998,11311536
OK,1998,3405194
OR,1998,3352449
PA,1998,12245672
RI,1998,1031155
SC,1998,3919235
SD,1998,746058
TN,1998,5570045
TX,1998,20157531
UT,1998,2165960
VT,1998,600416
VA,1998,6900918
WA,1998,5769562
WV,1998,1815609
WI,1998,5297672
WY,1998,490787
AL,1999,4430141
AK,1999,624779
AZ,1999,5023823
AR,1999,2651860
CA,1999,33499204
CO,1999,4226018
CT,1999,3386401
DE,1999,774990
DC,1999,570213
FL,1999,15759421
GA,1999,8045965
HI,1999,1210300
ID,1999,1275674
IL,1999,12359020
IN,1999,6044969
IA,1999,2917634
KS,1999,2678338
KY,1999,4018053
LA,1999,4460811
ME,1999,1266808
MD,1999,5254509
MA,1999,6317345
MI,1999,9897116
MN,1999,4873481
MS,1999,2828408
MO,1999,5561948
MT,1999,897507
NE,1999,1704764
NV,1999,1934718
NH,1999,1222014
NJ,1999,8359592
NM,1999,1808082
NY,1999,18882725
NC,1999,7949361
ND,1999,644259
OH,1999,11335454
OK,1999,3437147
OR,1999,3393941
PA,1999,12263805
RI,1999,1040402
SC,1999,3974682
SD,1999,750412
TN,1999,5638706
TX,1999,20558220
UT,1999,2203482
VT,1999,604683
VA,1999,7000174
WA,1999,5842564
WV,1999,1811799
WI,1999,5332666
WY,1999,491780
AL,2000,4452173
AK,2000,627963
AZ,2000,5160586
AR,2000,2678588
CA,2000,33987977
CO,2000,4326921
CT,2000,3411777
DE,2000,786373
DC,2000,572046
FL,2000,16047515
GA,2000,8227303
HI,2000,1213519
ID,2000,1299430
IL,2000,12434161
IN,2000,6091866
IA,2000,2929067
KS,2000,2693681
KY,2000,4049021
LA,2000,4471885
ME,2000,1277072
MD,2000,5311034
MA,2000,6361104
MI,2000,9952450
MN,2000,4933692
MS,2000,2848353
MO,2000,5607285
MT,2000,903773
NE,2000,1713820
NV,2000,2018741
NH,2000,1239882
NJ,2000,8430621
NM,2000,1821204
NY,2000,19001780
NC,2000,8081614
ND,2000,642023
OH,2000,11363543
OK,2000,3454365
OR,2000,3429708
PA,2000,12284173
RI,2000,1050268
SC,2000,4024223
SD,2000,755844
TN,2000,5703719
TX,2000,20944499
UT,2000,2244502
VT,2000,609618
VA,2000,7105817
WA,2000,5910512
WV,2000,1807021
WI,2000,5373999
WY,2000,494300
AL,2001,4467634
AK,2001,633714
AZ,2001,5273477
AR,2001,2691571
CA,2001,34479458
CO,2001,4425687
CT,2001,3432835
DE,2001,795699
DC,2001,574504
FL,2001,16356966
GA,2001,8377038
HI,2001,1225948
ID,2001,1319962
IL,2001,12488445
IN,2001,6127760
IA,2001,2931997
KS,2001,2702162
KY,2001,4068132
LA,2001,4477875
ME,2001,1285692
MD,2001,5374691
MA,2001,6397634
MI,2001,9991120
MN,2001,4982796
MS,2001,2852994
MO,2001,5641142
MT,2001,906961
NE,2001,1719836
NV,2001,2098399
NH,2001,1255517
NJ,2001,8492671
NM,2001,1831690
NY,2001,19082838
NC,2001,8210122
ND,2001,639062
OH,2001,11387404
OK,2001,3467100
OR,2001,3467937
PA,2001,12298970
RI,2001,1057142
SC,2001,4064995
SD,2001,757972
TN,2001,5750789
TX,2001,21319622
UT,2001,2283715
VT,2001,612223
VA,2001,7198362
WA,2001,5985722
WV,2001,1801481
WI,2001,5406835
WY,2001,494657
AL,2002,4480089
AK,2002,642337
AZ,2002,5396255
AR,2002,2705927
CA,2002,34871843
CO,2002,4490406
CT,2002,3458749
DE,2002,806169
DC,2002,573158
FL,2002,16689370
GA,2002,8508256
HI,2002,1239613
ID,2002,1340372
IL,2002,12525556
IN,2002,6155967
IA,2002,2934234
KS,2002,2713535
KY,2002,4089875
LA,2002,4497267
ME,2002,1295960
MD,2002,5440389
MA,2002,6417206
MI,2002,10015710
MN,2002,5018935
MS,2002,2858681
MO,2002,5674825
MT,2002,911667
NE,2002,1728292
NV,2002,2173791
NH,2002,1269089
NJ,2002,8552643
NM,2002,1855309
NY,2002,19137800
NC,2002,8326201
ND,2002,638168
OH,2002,11407889
OK,2002,3489080
OR,2002,3513424
PA,2002,12331031
RI,2002,1065995
SC,2002,4107795
SD,2002,760020
TN,2002,5795918
TX,2002,21690325
UT,2002,2324815
VT,2002,615442
VA,2002,7286873
WA,2002,6052349
WV,2002,1805414
WI,2002,5445162
WY,2002,500017
AL,2003,4503491
AK,2003,648414
AZ,2003,5510364
AR,2003,2724816
CA,2003,35253159
CO,2003,4528732
CT,2003,3484336
DE,2003,818003
DC,2003,568502
FL,2003,17004085
GA,2003,8622793
HI,2003,1251154
ID,2003,1363380
IL,2003,12556006
IN,2003,6196638
IA,2003,2941999
KS,2003,2723004
KY,2003,4117170
LA,2003,4521042
ME,2003,1306513
MD,2003,5496269
MA,2003,6422565
MI,2003,10041152
MN,2003,5053572
MS,2003,2868312
MO,2003,5709403
MT,2003,919630
NE,2003,1738643
NV,2003,2248850
NH,2003,1279840
NJ,2003,8601402
NM,2003,1877574
NY,2003,19175939
NC,2003,8422501
ND,2003,638817
OH,2003,11434788
OK,2003,3504892
OR,2003,3547376
PA,2003,12374658
RI,2003,1071342
SC,2003,4150297
SD,2003,763729
TN,2003,5847812
TX,2003,22030931
UT,2003,2360137
VT,2003,617858
VA,2003,7366977
WA,2003,6104115
WV,2003,1812295
WI,2003,5479203
WY,2003,503453
AL,2004,4530729
AK,2004,659286
AZ,2004,5652404
AR,2004,2749686
CA,2004,35574576
CO,2004,4575013
CT,2004,3496094
DE,2004,830803
DC,2004,567754
FL,2004,17415318
GA,2004,8769252
HI,2004,1273569
ID,2004,1391802
IL,2004,12589773
IN,2004,6233007
IA,2004,2953635
KS,2004,2734373
KY,2004,4146101
LA,2004,4552238
ME,2004,1313688
MD,2004,5546935
MA,2004,6412281
MI,2004,10055315
MN,2004,5087713
MS,2004,2889010
MO,2004,5747741
MT,2004,930009
NE,2004,1749370
NV,2004,2346222
NH,2004,1290121
NJ,2004,8634561
NM,2004,1903808
NY,2004,19171567
NC,2004,8553152
ND,2004,644705
OH,2004,11452251
OK,2004,3525233
OR,2004,3569463
PA,2004,12410722
RI,2004,1074579
SC,2004,4210921
SD,2004,770396
TN,2004,5910809
TX,2004,22394023
UT,2004,2401580
VT,2004,619920
VA,2004,7475575
WA,2004,6178645
WV,2004,1816438
WI,2004,5514026
WY,2004,509106
AL,2005,4569805
AK,2005,666946
AZ,2005,5839077
AR,2005,2781097
CA,2005,35827943
CO,2005,4631888
CT,2005,3506956
DE,2005,845150
DC,2005,567136
FL,2005,17842038
GA,2005,8925922
HI,2005,1292729
ID,2005,1428241
IL,2005,12609903
IN,2005,6278616
IA,2005,2964454
KS,2005,2745299
KY,2005,4182742
LA,2005,4576628
ME,2005,1318787
MD,2005,5592379
MA,2005,6403290
MI,2005,10051137
MN,2005,5119598
MS,2005,2905943
MO,2005,5790300
MT,2005,940102
NE,2005,1761497
NV,2005,2432143
NH,2005,1298492
NJ,2005,8651974
NM,2005,1932274
NY,2005,19132610
NC,2005,8705407
ND,2005,646089
OH,2005,11463320
OK,2005,3548597
OR,2005,3613202
PA,2005,12449990
RI,2005,1067916
SC,2005,4270150
SD,2005,775493
TN,2005,5991057
TX,2005,22778123
UT,2005,2457719
VT,2005,621215
VA,2005,7577105
WA,2005,6257305
WV,2005,1820492
WI,2005,5546166
WY,2005,514157
AL,2006,4628981
AK,2006,675302
AZ,2006,6029141
AR,2006,2821761
CA,2006,36021202
CO,2006,4720423
CT,2006,3517460
DE,2006,859268
DC,2006,570681
FL,2006,18166990
GA,2006,9155813
HI,2006,1309731
ID,2006,1468669
IL,2006,12643955
IN,2006,6332669
IA,2006,2982644
KS,2006,2762931
KY,2006,4219239
LA,2006,4302665
ME,2006,1323619
MD,2006,5627367
MA,2006,6410084
MI,2006,10036081
MN,2006,5163555
MS,2006,2904978
MO,2006,5842704
MT,2006,952692
NE,2006,1772693
NV,2006,2522658
NH,2006,1308389
NJ,2006,8661679
NM,2006,1962137
NY,2006,19104631
NC,2006,8917270
ND,2006,649422
OH,2006,11481213
OK,2006,3594090
OR,2006,3670883
PA,2006,12510809
RI,2006,1063096
SC,2006,4357847
SD,2006,783033
TN,2006,6088766
TX,2006,23359580
UT,2006,2525507
VT,2006,622892
VA,2006,7673725
WA,2006,6370753
WV,2006,1827912
WI,2006,5577655
WY,2006,522667
AL,2007,4672840
AK,2007,680300
AZ,2007,6167681
AR,2007,2848650
CA,2007,36250311
CO,2007,4803868
CT,2007,3527270
DE,2007,871749
DC,2007,574404
FL,2007,18367842
GA,2007,9349988
HI,2007,1315675
ID,2007,1505105
IL,2007,12695866
IN,2007,6379599
IA,2007,2999212
KS,2007,2783785
KY,2007,4256672
LA,2007,4375581
ME,2007,1327040
MD,2007,5653408
MA,2007,6431559
MI,2007,10001284
MN,2007,5207203
MS,2007,2928350
MO,2007,5887612
MT,2007,964706
NE,2007,1783440
NV,2007,2601072
NH,2007,1312540
NJ,2007,8677885
NM,2007,1990070
NY,2007,19132335
NC,2007,9118037
ND,2007,652822
OH,2007,11500468
OK,2007,3634349
OR,2007,3722417
PA,2007,12563937
RI,2007,1057315
SC,2007,4444110
SD,2007,791623
TN,2007,6175727
TX,2007,23831983
UT,2007,2597746
VT,2007,623481
VA,2007,7751000
WA,2007,6461587
WV,2007,1834052
WI,2007,5610775
WY,2007,534876
AL,2008,4718206
AK,2008,687455
AZ,2008,6280362
AR,2008,2874554
CA,2008,36604337
CO,2008,4889730
CT,2008,3545579
DE,2008,883874
DC,2008,580236
FL,2008,18527305
GA,2008,9504843
HI,2008,1332213
ID,2008,1534320
IL,2008,12747038
IN,2008,6424806
IA,2008,3016734
KS,2008,2808076
KY,2008,4289878
LA,2008,4435586
ME,2008,1330509
MD,2008,5684965
MA,2008,6468967
MI,2008,9946889
MN,2008,5247018
MS,2008,2947806
MO,2008,5923916
MT,2008,976415
NE,2008,1796378
NV,2008,2653630
NH,2008,1315906
NJ,2008,8711090
NM,2008,2010662
NY,2008,19212436
NC,2008,9309449
ND,2008,657569
OH,2008,11515391
OK,2008,3668976
OR,2008,3768748
PA,2008,12612285
RI,2008,1055003
SC,2008,4528996
SD,2008,799124
TN,2008,6247411
TX,2008,24309039
UT,2008,2663029
VT,2008,624151
VA,2008,7833496
WA,2008,6562231
WV,2008,1840310
WI,2008,5640996
WY,2008,546043
AL,2009,4757938
AK,2009,698895
AZ,2009,6343154
AR,2009,2896843
CA,2009,36961229
CO,2009,4972195
CT,2009,3561807
DE,2009,891730
DC,2009,592228
FL,2009,18652644
GA,2009,9620846
HI,2009,1346717
ID,2009,1554439
IL,2009,12796778
IN,2009,6459325
IA,2009,3032870
KS,2009,2832704
KY,2009,4317074
LA,2009,4491648
ME,2009,1329590
MD,2009,5730388
MA,2009,6517613
MI,2009,9901591
MN,2009,5281203
MS,2009,2958774
MO,2009,5961088
MT,2009,983982
NE,2009,1812683
NV,2009,2684665
NH,2009,1316102
NJ,2009,8755602
NM,2009,2036802
NY,2009,19307066
NC,2009,9449566
ND,2009,664968
OH,2009,11528896
OK,2009,3717572
OR,2009,3808600
PA,2009,12666858
RI,2009,1053646
SC,2009,4589872
SD,2009,807067
TN,2009,6306019
TX,2009,24801761
UT,2009,2723421
VT,2009,624817
VA,2009,7925937
WA,2009,6667426
WV,2009,1847775
WI,2009,5669264
WY,2009,559851
AL,2010,4779736
AK,2010,710231
AZ,2010,6392017
AR,2010,2915918
CA,2010,37253956
CO,2010,5029196
CT,2010,3574097
DE,2010,897934
DC,2010,601723
FL,2010,18801310
GA,2010,9687653
HI,2010,1360301
ID,2010,1567582
IL,2010,12830632
IN,2010,6483802
IA,2010,3046355
KS,2010,2853118
KY,2010,4339367
LA,2010,4533372
ME,2010,1328361
MD,2010,5773552
MA,2010,6547629
MI,2010,9883640
MN,2010,5303925
MS,2010,2967297
MO,2010,5988927
MT,2010,989415
NE,2010,1826341
NV,2010,2700551
NH,2010,1316470
NJ,2010,8791894
NM,2010,2059179
NY,2010,19378102
NC,2010,9535483
ND,2010,672591
OH,2010,11536504
OK,2010,3751351
OR,2010,3831074
PA,2010,12702379
RI,2010,1052567
SC,2010,4625364
SD,2010,814180
TN,2010,6346105
TX,2010,25145561
UT,2010,2763885
VT,2010,625741
VA,2010,8001024
WA,2010,6724540
WV,2010,1852994
WI,2010,5686986
WY,2010,563626
AL,2011,4779736
AK,2011,710231
AZ,2011,6392017
AR,2011,2915918
CA,2011,37253956
CO,2011,5029196
CT,2011,3574097
DE,2011,897934
DC,2011,601723
FL,2011,18801310
GA,2011,9687653
HI,2011,1360301
ID,2011,1567582
IL,2011,12830632
IN,2011,6483802
IA,2011,3046355
KS,2011,2853118
KY,2011,4339367
LA,2011,4533372
ME,2011,1328361
MD,2011,5773552
MA,2011,6547629
MI,2011,9883640
MN,2011,5303925
MS,2011,2967297
MO,2011,5988927
MT,2011,989415
NE,2011,1826341
NV,2011,2700551
NH,2011,1316470
NJ,2011,8791894
NM,2011,2059179
NY,2011,19378102
NC,2011,9535483
ND,2011,672591
OH,2011,11536504
OK,2011,3751351
OR,2011,3831074
PA,2011,12702379
RI,2011,1052567
SC,2011,4625364
SD,2011,814180
TN,2011,6346105
TX,2011,25145561
UT,2011,2763885
VT,2011,625741
VA,2011,8001024
WA,2011,6724540
WV,2011,1852994
WI,2011,5686986
WY,2011,563626
AL,2012,4779736
AK,2012,710231
AZ,2012,6392017
AR,2012,2915918
CA,2012,37253956
CO,2012,5029196
CT,2012,3574097
DE,2012,897934
DC,2012,601723
FL,2012,18801310
GA,2012,9687653
HI,2012,1360301
ID,2012,1567582
IL,2012,12830632
IN,2012,6483802
IA,2012,3046355
KS,2012,2853118
KY,2012,4339367
LA,2012,4533372
ME,2012,1328361
MD,2012,5773552
MA,2012,6547629
MI,2012,9883640
MN,2012,5303925
MS,2012,2967297
MO,2012,5988927
MT,2012,989415
NE,2012,1826341
NV,2012,2700551
NH,2012,1316470
NJ,2012,8791894
NM,2012,2059179
NY,2012,19378102
NC,2012,9535483
ND,2012,672591
OH,2012,11536504
OK,2012,3751351
OR,2012,3831074
PA,2012,12702379
RI,2012,1052567
SC,2012,4625364
SD,2012,814180
TN,2012,6346105
TX,2012,25145561
UT,2012,2763885
VT,2012,625741
VA,2012,8001024
WA,2012,6724540
WV,2012,1852994
WI,2012,5686986
WY,2012,563626
AL,2013,4833722
AK,2013,735132
AZ,2013,6626624
AR,2013,2959373
CA,2013,38332521
CO,2013,5268367
CT,2013,3596080
DE,2013,925749
DC,2013,646449
FL,2013,19552860
GA,2013,9992167
HI,2013,1404054
ID,2013,1612136
IL,2013,12882135
IN,2013,6570902
IA,2013,3090416
KS,2013,2893957
KY,2013,4395295
LA,2013,4625470
ME,2013,1328302
MD,2013,5928814
MA,2013,6692824
MI,2013,9895622
MN,2013,5420380
MS,2013,2991207
MO,2013,6044171
MT,2013,1015165
NE,2013,1868516
NV,2013,2790136
NH,2013,1323459
NJ,2013,8899339
NM,2013,2085287
NY,2013,19651127
NC,2013,9848060
ND,2013,723393
OH,2013,11570808
OK,2013,3850568
OR,2013,3930065
PA,2013,12773801
RI,2013,1051511
SC,2013,4774839
SD,2013,844877
TN,2013,6495978
TX,2013,26448193
UT,2013,2900872
VT,2013,626630
VA,2013,8260405
WA,2013,6971406
WV,2013,1854304
WI,2013,5742713
WY,2013,582658
AL,2014,4849377
AK,2014,736732
AZ,2014,6731484
AR,2014,2966369
CA,2014,38802500
CO,2014,5355866
CT,2014,3596677
DE,2014,935614
DC,2014,658893
FL,2014,19893297
GA,2014,10097343
HI,2014,1419561
ID,2014,1634464
IL,2014,12880580
IN,2014,6596855
IA,2014,3107126
KS,2014,2904021
KY,2014,4413457
LA,2014,4649676
ME,2014,1330089
MD,2014,5976407
MA,2014,6745408
MI,2014,9909877
MN,2014,5457173
MS,2014,2994079
MO,2014,6063589
MT,2014,1023579
NE,2014,1881503
NV,2014,2839099
NH,2014,1326813
NJ,2014,8938175
NM,2014,2085572
NY,2014,19746227
NC,2014,9943964
ND,2014,739482
OH,2014,11594163
OK,2014,3878051
OR,2014,3970239
PA,2014,12787209
RI,2014,1055173
SC,2014,4832482
SD,2014,853175
TN,2014,6549352
TX,2014,26956958
UT,2014,2942902
VT,2014,626562
VA,2014,8326289
WA,2014,7061530
WV,2014,1850326
WI,2014,5757564
WY,2014,584153
AL,2015,4858979
AK,2015,738432
AZ,2015,6828065
AR,2015,2978204
CA,2015,39144818
CO,2015,5456574
CT,2015,3590886
DE,2015,945934
DC,2015,672228
FL,2015,20271272
GA,2015,10214860
HI,2015,1431603
ID,2015,1654930
IL,2015,12859995
IN,2015,6619680
IA,2015,3123899
KS,2015,2911641
KY,2015,4425092
LA,2015,4670724
ME,2015,1329328
MD,2015,6006401
MA,2015,6794422
MI,2015,9922576
MN,2015,5489594
MS,2015,2992333
MO,2015,6083672
MT,2015,1032949
NE,2015,1896190
NV,2015,2890845
NH,2015,1330608
NJ,2015,8958013
NM,2015,2085109
NY,2015,19795791
NC,2015,10042802
ND,2015,756928
OH,2015,11613423
OK,2015,3911338
OR,2015,4028977
PA,2015,12802503
RI,2015,1056298
SC,2015,4896146
SD,2015,858469
TN,2015,6600299
TX,2015,27469114
UT,2015,2995919
VT,2015,626042
VA,2015,8382993
WA,2015,7170351
WV,2015,1844128
WI,2015,5771337
WY,2015,586107
AL,2016,4863300
AK,2016,741894
AZ,2016,6931071
AR,2016,2988248
CA,2016,39250017
CO,2016,5540545
CT,2016,3576452
DE,2016,952065
DC,2016,681170
FL,2016,20612439
GA,2016,10310371
HI,2016,1428557
ID,2016,1683140
IL,2016,12801539
IN,2016,6633053
IA,2016,3134693
KS,2016,2907289
KY,2016,4436974
LA,2016,4681666
ME,2016,1331479
MD,2016,6016447
MA,2016,6811779
MI,2016,9928300
MN,2016,5519952
MS,2016,2988726
MO,2016,6093000
MT,2016,1042520
NE,2016,1907116
NV,2016,2940058
NH,2016,1334795
NJ,2016,8944469
NM,2016,2081015
NY,2016,19745289
NC,2016,10146788
ND,2016,757953
OH,2016,11614373
OK,2016,3923561
OR,2016,4093465
PA,2016,12784227
RI,2016,1056426
SC,2016,4961119
SD,2016,865454
TN,2016,6651194
TX,2016,27862596
UT,2016,3051217
VT,2016,624594
VA,2016,8411808
WA,2016,7288000
WV,2016,1831102
WI,2016,5778709
WY,2016,585501
AL,2017,4874747
AK,2017,739795
AZ,2017,7016270
AR,2017,3004279
CA,2017,39536653
CO,2017,5607154
CT,2017,3588184
DE,2017,961939
DC,2017,693972
FL,2017,20984400
GA,2017,10429379
HI,2017,1427538
ID,2017,1716943
IL,2017,12802023
IN,2017,6666818
IA,2017,3145711
KS,2017,2913123
KY,2017,4454189
LA,2017,4684333
ME,2017,1335907
MD,2017,6052177
MA,2017,6859819
MI,2017,9962311
MN,2017,5576606
MS,2017,2984100
MO,2017,6113532
MT,2017,1050493
NE,2017,1920076
NV,2017,2998039
NH,2017,1342795
NJ,2017,9005644
NM,2017,2088070
NY,2017,19849399
NC,2017,10273419
ND,2017,755393
OH,2017,11658609
OK,2017,3930864
OR,2017,4142776
PA,2017,12805537
RI,2017,1059639
SC,2017,5024369
SD,2017,869666
TN,2017,6715984
TX,2017,28304596
UT,2017,3101833
VT,2017,623657
VA,2017,8470020
WA,2017,7405743
WV,2017,1815857
WI,2017,5795483
WY,2017,579315
